Acrylic glass;1.490
Air;1.000
Alcohol, Ethyl (grain);1.360
Aluminum;1.390
Asphalt;1.635
Beer;1.345
Bronze;1.180
Copper;1.100
Crystal;2.000
Diamond;2.418
Emerald;1.560
Eye, Lens;1.410
Glass;1.500
Glass, Pyrex;1.474
Gold;0.470
Ice;1.309
Iron;2.950
Ivory;1.540
Lead;2.010
Lucite;1.495
Mercury (liquid);1.620
Milk;1.350
Nickel;1.080
Nylon;1.530
Oil, vegetable (@50°C);1.470
Pearl;1.530
Plastic;1.460
Teflon;1.350
Titanium;2.160
Vodka;1.363
Water (@35°C);1.325
